"","All.people.Estimate","Under.18.years.Estimate","X18.to.64.years.Estimate","X65.years.and.over.Estimate"
"Social.Security",8.27,2.09,3.91,35.47
"Refundable.tax.credits",2.68,6.18,1.98,0.2
"SNAP",1.28,2.38,1.01,0.7
"SSI",1.06,0.74,1.12,1.28
"Housing.subsidies ",0.96,1.42,0.72,1.17
"Child.support.received",0.33,0.79,0.22,0.02
"School.lunch",0.4,1,0.26,0.03
"TANF",0.2,0.44,0.15,0.03
"Unemployment.insurance   ",0.21,0.28,0.23,0.04
"LIHEAP",0.06,0.08,0.04,0.08
"Workers.compensation",0.1,0.12,0.11,0.04
"WIC",0.1,0.23,0.07,0.01
